,name,longitude,region_id,legacy_id,capacity,latitude,short_name
427,15th & W St NW,-77.034449,42,453,19,38.9190185,31125
428,12th St & Pennsylvania Ave SE,-76.990121,42,454,19,38.882489,31644
429,3rd St & Riggs Rd NE,-77.002239,42,455,15,38.957463,31412
430,Carlin Springs Rd & N Thomas St,-77.112982,41,456,15,38.876695,31919
431,Towers Crescent Dr & Tysons One Pl,-77.220157,104,457,11,38.915246,32222
432,6th & K St NE,-76.99840486049652,42,458,19,38.90293157359119,31645
433,Pooks Hill Rd & Linden Ave,-77.107143,44,459,15,39.014716,32057
434,Takoma Park Rec Center,-76.988311,44,460,15,38.98265,32059
435,New Hampshire & Kirklynn Ave,-76.988422,44,461,15,38.988101,32061
436,Wheaton Metro / Georgia Ave & Reedie Dr,-77.05102041363716,44,462,19,39.038423828518326,32062
437,Amherst Ave & Elkins St,-77.047788,44,463,15,39.044887,32063
438,Amherst Ave & Prichard Rd,-77.048395,44,464,15,39.035965,32064
439,Grandview & Blueridge Ave,-77.053085,44,465,15,39.043272,32065
440,Windham Ln & Amherst Ave,-77.04735,44,466,15,39.032029,32066
441,North Shore Dr & Village Rd,-77.340787,104,467,11,38.970412,32223
442,Town Center Pkwy & Sunset Hills Rd,-77.3630940914154,104,468,11,38.955170598044894,32224
443,3rd & Underwood St NW,-77.016258,42,469,19,38.968834,31413
444,18th & Monroe St NE,-76.979517,42,470,19,38.93293,31521
445,7th & E St SW,-77.021741,42,471,19,38.88345,31294
446,Shady Grove Metro East,-77.164969,43,472,19,39.121327,32067
447,Potomac & M St NW,-77.065149,42,473,19,38.905368,31295
448,Columbia & Ontario Rd NW,-77.040787,42,474,23,38.924088,31296
449,Washington-Liberty High School / N Stafford St & Generals Way,-77.111066,41,475,15,38.888282,31920
450,Westover Library / Washington Blvd & N McKinley Rd,-77.142317,41,476,15,38.886048,31921
451,Columbia Pike & George Mason Dr,-77.10201859474182,41,477,15,38.859305619982344,31923
452,Columbus Ave & Tribeca St,-77.16705948114395,43,478,11,39.12582811177034,32068
453,Columbus Ave & Gramercy Blvd,-77.16486,43,479,11,39.12333,32069
454,Reston Pkwy & Spectrum Dr,-77.35428035259247,104,480,15,38.964207741006206,32225
455,Key West Ave & Great Seneca Hwy,-77.20386,43,481,11,39.105642,32070
456,Virginia Ave & 25th St NW,-77.054155,42,482,19,38.8995,31297
457,15th & M St NW,-77.034674,42,483,19,38.905424,31298
458,11th & Girard St NW,-77.027112,42,484,19,38.925636,31126
459,Connecticut Ave & R St NW,-77.04564,42,485,19,38.912644,31299
460,Wilson Blvd & N Troy St,-77.082089,41,486,15,38.892556,31924
461,American University East Campus,-77.087128,42,487,19,38.936298,31320
462,15th St & Constitution Ave NW,-77.033234,42,488,19,38.892244,31321
463,23rd & M St NW,-77.050264,42,490,19,38.905303,31128
464,Corporate Blvd & Omega Dr,-77.192645,43,491,15,39.106971,32071
465,Key West Ave & Diamondback Dr,-77.202354,43,492,11,39.106152,32072
466,Alabama Ave & Stanton Rd SE / Shops at Park Village,-76.98185,42,493,19,38.84627,31813
467,Mississippi Ave & 19th St SE / THEARC,-76.97557,42,494,19,38.84377,31814
468,19th & Savannah St SE,-76.97703,42,495,11,38.84623,31815
469,4th St & Mississippi Ave SE,-77.0009,42,496,19,38.836,31816
470,1st & S Capitol St SE / Oxon Run Trail,-77.005497,42,497,19,38.824481,31817
471,Livingston Rd & 3rd St SE,-77.00223,42,498,15,38.82373,31818
472,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,-77.01033,42,499,19,38.81909,31819
473,37th & Ely Pl SE,-76.949709,42,500,15,38.883011,31715
474,15th St & Pennsylvania Ave NW,-77.0333808660507,42,501,19,38.89646474748647,31129
475,Maine Ave & 9th St SW,-77.025236,42,505,15,38.88044,31646
476,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,-77.0078,42,506,19,38.915,31523
477,Blueridge Ave & Elkin St,-77.05006,44,507,15,39.04313,32073
478,Georgia Ave & Kennedy St NW,-77.02791,42,508,19,38.95674,31415
479,7th St & Massachusetts Ave NE,-76.99602,42,509,19,38.89222,31647
480,Anacostia Park,-76.9834,42,510,19,38.87335,31820
481,Twinbrook Metro,-77.120776,43,511,14,39.062041,32074
482,White Flint Metro,-77.11287,43,512,25,39.04753,32075
483,Citadel Ave & McGrath Blvd,-77.10933,43,513,15,39.049,32076
484,Rockville Pike & Old Georgetown Rd,-77.11368,43,514,15,39.049765,32077
485,Woodglen Dr & Executive Blvd,-77.1135,43,515,16,39.04317,32078
486,Executive Blvd & E Jefferson St,-77.1257,43,516,15,39.04873,32079
487,Fishers Ln & Rock Creek Mill Rd,-77.113454,43,517,15,39.0629,32080
488,Congressional Ln & E Jefferson St,-77.129235,43,518,15,39.06219,32081
489,Garland Ave & Walden Rd,-77.00077,44,519,15,39.00048,32082
490,Greensboro & Pinnacle Dr,-77.23034,104,520,13,38.92245,32227
491,1301 McCormick Dr / Wayne K. Curry Admin Bldg,-76.843263,133,521,15,38.908391,32400
492,Largo Town Center Metro,-76.844604,133,522,17,38.899811,32401
493,Baltimore Ave & Van Buren St / Riverdale Park Station,-76.937349,133,523,17,38.969581,32402
494,Baltimore Ave & Jefferson St,-76.940133,133,524,15,38.95548,32403
495,Perry & 35th St,-76.960054,133,525,15,38.936213,32404
496,Potomac Ave & Half St SW,-77.01081544160843,42,527,23,38.86968314861632,31648
497,Largo Rd & Campus Way / Prince Georges's Comm Col,-76.825535,133,530,15,38.88994,32405
498,Stanton Square SE,-76.984512,42,531,19,38.855004,31822
499,14th & Newton St NW,-77.032956,42,532,19,38.931991,31649
500,48th Pl & MacArthur Blvd NW,-77.0957824587822,42,533,19,38.9170363119413,31322
501,14th & Luzon St NW,-77.033509,42,534,19,38.969489,31416
502,1st & M St SE,-77.006072,42,535,19,38.876893,31650
503,Fleet St & Waterfront St,-77.016059,133,536,15,38.782633,32406
